StockNumber,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
PG3498,24/11/2023,146.6137225,147.1568206,146.468259,146.8076935,2132500,0,0,
JNJ3498,24/11/2023,145.0692682,146.8194002,145.0692682,146.6463165,3351400,0,0,
SPY3497,22/11/2023,446.0619408,447.4344934,444.9933095,446.1011353,59394900,0,0,0
PG3497,22/11/2023,145.566362,146.9046702,145.566362,146.4585724,4372700,0,0,
JNJ3497,22/11/2023,145.8097134,146.2039645,144.6173053,145.0308075,4633500,0,0,
SPY3496,21/11/2023,444.2972047,445.2285957,443.1011167,444.385437,49244600,0,0,0
PG3496,21/11/2023,145.3238971,145.4790531,144.3347013,145.0911407,7310400,0,0,
JNJ3496,21/11/2023,144.338438,145.4827477,143.8672413,145.3192749,5916300,0,0,
SPY3495,20/11/2023,441.6991799,446.2090215,441.6893663,445.3560791,69936200,0,0,0
PG3495,20/11/2023,145.6730158,146.4682406,145.1396252,145.7312012,6856500,0,0,
JNJ3495,20/11/2023,142.2325009,144.6269132,141.8766933,144.1557312,8851700,1,0,
SPY3494,17/11/2023,441.4148641,442.5717578,440.483503,441.9541016,83133200,0,0,0
PG3494,17/11/2023,148.1071912,148.2235619,146.3324634,146.5070343,8495600,0,0,
JNJ3494,17/11/2023,143.6210269,143.8499717,142.2091471,142.8959961,7023300,0,0,
SPY3493,16/11/2023,440.4148168,441.7285478,439.336372,441.4050293,66665800,0,0,0
PG3493,16/11/2023,147.3992576,148.2720678,146.7397888,148.2138824,7590500,0,0,
JNJ3493,16/11/2023,142.619366,143.2585279,141.7989463,143.1917572,6875600,0,0,
SPY3492,15/11/2023,441.2873786,442.5325045,440.0030583,440.8658142,77327600,0,0,0
PG3492,15/11/2023,147.4671347,147.7871691,145.837885,146.8464661,7672600,0,0,
JNJ3492,15/11/2023,140.5683371,142.5430594,140.4920173,141.9515991,6729100,0,0,
